iso3,YouthPop_15_24_total,NetPrimEnroll_pct,OutOfSchoolPrimary_num,UrbanSlum_pct,Activities_250,Activities_11230
ABW,14455.0,,,0.0,,
AFG,7252785.0,,,71.58904,,
AGO,4259352.0,,,62.7,,
ALB,556269.0,,17039.0,2.7,,
AND,,,18.0,0.0,,
ARE,743608.0,,919.0,0.11325,,
ARG,6886530.0,,,14.5,,
ARM,446958.0,,12859.0,8.39472,,
ATG,,,,2.64634,,
AUS,2914620.0,,,0.035,,
AUT,964629.0,,,0.04663,,
AZE,1544146.0,,9457.0,,,
BDI,2087945.0,,,36.75168,,
BEL,1241946.0,,,0.0,,
BEN,2263486.0,,,64.01064,,
BFA,3781805.0,,1642690.0,87.88175,,
BGD,34400594.0,,765936.183208326,51.50833,,
BGR,710294.0,,,0.19661,,
BHR,132609.0,,8791.0,,,
BHS,61260.0,,8775.0,,,
BIH,489754.0,,25308.0,0.3128,,
BLR,1072048.0,,19818.0,,,
BLZ,67112.0,,5716.0,15.72533,,
BMU,,,,0.07761,,
BOL,2159790.0,,58597.0,46.62568,,
BRA,33595574.0,,,14.8971,,
BRB,37585.0,,1694.0,,,
BRN,77348.0,,1468.0,21.59688,,
BTN,147444.0,,,44.6899,,
BWA,431236.0,,,39.6,,
CAF,1078382.0,,,68.9131,,
CAN,4373511.0,,,1.09583,,
CHE,959002.0,,,0.0,,
CHL,2817084.0,,,7.324,,
CHN,197026759.0,,,26.32091,,
CIV,4774821.0,,175494.0,48.26127,,
CMR,4434948.0,,169740.0,32.67179,,
COD,15535095.0,,,78.36226,,
COG,909163.0,,158517.0,75.34233,,
COL,8999338.0,,,9.7,,
COM,200926.0,,28200.0,48.50155,,
CPV,124102.0,,,46.41147,,
CRI,850912.0,,,3.54573,,
CUB,1421630.0,,34271.0,11.04101,,
CUW,,,366.0,,,
CYM,,,754.0,5.47921,,
CYP,124493.0,,,0.27235,,
CZE,1063674.0,,,0.02735,,
DEU,8682394.0,,,0.0,,
DJI,197668.0,66.48037,,48.68591,,
DMA,,,825.0,,,
DNK,710024.0,,,0.0,,
DOM,1962188.0,,158549.0,11.24888,,
DZA,6467818.0,,46538.0,13.246,,
ECU,2697654.0,,85933.0,57.8,,
EGY,15377746.0,,,3.83938,,
ERI,1168307.0,,,48.68591,,
ESP,4285743.0,,,0.04603,,
EST,138228.0,,,0.34543,,
ETH,21074230.0,,4260424.0,64.31438,,
FIN,639391.0,,,0.0,,
FJI,168862.0,,2020.33106255571,9.4,,
FRA,7567872.0,,,0.0,,
FSM,25308.0,,,,,
GAB,299860.0,,,38.77297,,
GBR,7731522.0,,,0.1625,,
GEO,572054.0,,8335.0,7.07908,,
GHA,5484325.0,86.15823,,33.48685,,
GIN,2265841.0,,,43.95734,,
GMB,406035.0,,,37.08102,,
GNB,420687.0,,,59.0,,
GNQ,121299.0,,,64.68739,,
GRC,1114005.0,,,,,
GRD,23536.0,,,,,
GTM,3337778.0,,174671.0,37.6,,
GUM,,,,0.5524,,
GUY,134890.0,,12963.0,11.30361,,
HKG,856743.0,,,,,
HND,1740436.0,,256362.0,,,
HRV,503529.0,,,0.52712,,
HTI,2164291.0,,,51.05915,,
HUN,1123703.0,,,,,
IDN,41819264.0,,202815.350825068,19.41083,,
IND,244120201.0,,1722439.82706998,,,
IRL,580379.0,,,8.5,,
IRN,13556577.0,,,44.6899,,
IRQ,7340940.0,,,49.33894,,
ISL,44570.0,,,0.0,,
ISR,1211599.0,,,,,
